Group,Sens,Spec,thresh,dist,AUC,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy
four,1,1,0.6944444444444444,0,1,1,1,1,1,1,1,1,0.39285714285714285,0.39285714285714285,0.39285714285714285,1
six,0.6666666666666666,1,0.328125,0.33333333333333337,0.72,0.6666666666666666,1,1,0.9615384615384616,1,0.6666666666666666,0.8,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.8333333333333333
eight,1,1,0.7183098591549296,0,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1
